Date,Game,Team,Opponent,Min,Pts,FG,FG%,2P,2P%,3P,3P%,FT,FT%,OREB,DREB,REB,AST,PF,TO,STL,BLK,PM,EFF
20230825,GroupD,EGY,LTU,200,67,27/64,42.20%,23/49,46.90%,4/15,26.70%,9/19,47.40%,11,23,34,12,22,10,6,1,-26,58
20230825,GroupD,LTU,EGY,200,93,32/76,42.10%,21/40,52.50%,11/36,30.60%,18/23,78.30%,22,31,53,24,20,11,2,2,26,110
20230827,GroupD,MNE,EGY,200,89,34/68,50%,28/49,57.10%,6/19,31.60%,15/17,88.20%,11,27,38,16,16,16,15,4,15,108
20230827,GroupD,EGY,MNE,200,74,27/65,41.50%,19/36,52.80%,8/29,27.60%,12/16,75%,10,24,34,17,17,22,10,4,-15,72
20230827,GroupD,LTU,MEX,200,96,38/66,57.60%,28/43,65.10%,10/23,43.50%,10/13,76.90%,8,39,47,23,15,14,5,7,30,132
20230827,GroupD,MEX,LTU,200,66,26/73,35.60%,19/49,38.80%,7/24,29.20%,7/9,77.80%,9,20,29,19,16,11,9,2,-30,65
20230829,GroupD,EGY,MEX,200,100,39/64,60.90%,30/39,76.90%,9/25,36%,13/18,72.20%,7,34,41,23,17,19,8,4,28,127
20230829,GroupD,MEX,EGY,200,72,28/65,43.10%,22/42,52.40%,6/23,26.10%,10/17,58.80%,3,20,23,24,23,13,9,2,-28,72
20230829,GroupD,MNE,LTU,200,71,23/69,33.30%,18/38,47.40%,5/31,16.10%,20/26,76.90%,14,16,30,12,20,5,9,2,-20,62
20230829,GroupD,LTU,MNE,200,91,35/60,58.30%,27/43,62.80%,8/17,47.10%,13/20,65%,12,32,44,16,24,14,2,6,20,110
20230825,GroupE,FIN,AUS,200,72,27/66,40.90%,21/40,52.50%,6/26,23.10%,12/16,75%,11,23,34,17,21,19,6,3,-26,62
20230825,GroupE,AUS,FIN,200,98,37/73,50.70%,29/47,61.70%,8/26,30.80%,16/17,94%,11,30,41,23,23,12,12,4,26,126
20230825,GroupE,GER,JPN,200,81,34/72,47.20%,28/39,71.80%,6/33,18.20%,7/9,77.80%,11,36,47,21,12,10,7,4,18,108
20230825,GroupE,JPN,GER,200,63,23/65,35.40%,17/30,56.70%,6/35,17.10%,11/17,64.70%,8,28,36,17,16,13,5,3,-18,58
